"var","min","max","nunique","nulls","DESCRIPCION","ordinal","percentil","decil","cuartil"
"cdescubierto_preacordado",0,1,2,0,"Si tiene un acuerdo de descubierto","F",,,
"ccaja_seguridad",0,6,7,0,"Si el cliente tiene cajas de seguridad.  Un 0 si no tiene ninguna, un 1 si tiene al menos una caja de seguridad. { 0, 1 } son los unicos dos valores posibles .","F",,,
"Master_msaldopesos","-1198282.68","5315734.29",308104,101319,"Saldo total el pesos de la tarjeta, para ese mes.","T","T","T","T"
"Visa_msaldopesos","-920766.34","5323575.42",765628,48838,"Saldo total el pesos de la tarjeta, para ese mes.","T","T","T","T"
"Master_msaldodolares","-656164.21","1699543.44",18253,101319,"Saldo total el dólares de la tarjeta, para ese mes.","T","T","T","T"
"Visa_msaldodolares","-915072.77","4232782.24",49415,48838,"Saldo total el dólares de la tarjeta, para ese mes.","T","T","T","T"
"mcuentas_saldo","-25118916.54","372957539.6",925080,0,"Saldo total de TODAS las cuentas del cliente","T","T","T","T"
"Master_msaldototal","-1198282.68","5315734.29",310657,101319,"Saldo total de la tarjeta, para ese mes.","T","T","T","T"
"Visa_msaldototal","-1218009.3","6496667.59",766963,48838,"Saldo total de la tarjeta, para ese mes.","T","T","T","T"
"mpayroll",0,"44295403.01",393084,0,"Monto total que le acreditaron los empleadores “acreditados”  al cliente durante el mes.","T","T","T","T"
"mpayroll2",0,1682828,839,0,"Monto total que le acreditaron fuera de archivo de los empleadores “acreditados”  al cliente durante el mes.","T","T","T","T"
"mforex_sell",0,"91603.56",1403,0,"Monto total medido en pesos de  transacciones de venta de moneda extranjera que realizó el cliente durante el mes","T","T","T","T"
"mforex_buy",0,"91603.56",1331,0,"Monto total medido en pesos de  transacciones de compra de moneda extranjera que realizó el cliente durante el mes","T","T","T","T"
"Master_mconsumototal","-108002.98","5171670.94",193859,586300,"Monto total expresado en pesos,  de todos los consumos ( pesos y dolares )  efectuados por el cliente durante ese mes.","T","T","T","T"
"Visa_mconsumototal","-1849979.55","4323421.99",614223,133593,"Monto total expresado en pesos,  de todos los consumos ( pesos y dolares )  efectuados por el cliente durante ese mes.","T","T","T","T"
"mcomisiones_otras","-134235.24","1167083.11",343988,0,"Monto total en pesos de otras comisiones que se cobraron al cliente durante el mes.","T","T","T","T"
"mcomisiones_mantenimiento","-15494.48","14167.75",2011,0,"Monto total en pesos de comisiones de mantenimiento de productos cobrardas durante el banco durante el mes.","T","T","T","T"
"mpagomiscuentas",0,"933611338.7",392137,0,"Monto total en pesos argentinos de pagos efectuados durante el mes por el canal PagoMisCuentas","T","T","T","T"
"matm_other",0,"1716783.93",1506,0,"Monto total en pesos  de transacciones que el cliente realizó durante el mes en cajeros automáticos que no son propiedad del banco.","T","T","T","T"
"matm",0,3519000,5613,0,"Monto total en pesos  de transacciones que el cliente realizó durante el mes en cajeros automáticos propiedad del banco.","T","T","T","T"
"mcajeros_propios_descuentos",0,"36279.03",15662,0,"Monto total en pesos  de descuentos con los que se benefició el cliente al utilizar su tarjeta de débito durante el mes.","T",,,"T"
"mtarjeta_visa_descuentos",0,"178072.66",21684,16998,"Monto total en pesos  de descuentos con los que se benefició el cliente al utilizar su tarjeta de crédito VISA durante el mes.","T",,,"T"
"mtarjeta_master_descuentos",0,"104532.18",7631,23521,"Monto total en pesos  de descuentos con los que se benefició el cliente al utilizar su tarjeta de crédito MasterCard durante el mes.","T",,,"T"
"mtransferencias_recibidas",0,"938923768.66",364026,0,"Monto total de transferencias recibidas en todas las cuentas durante el mes. Puede ser transferencias propias o de terceros.","T","T","T","T"
"mtransferencias_emitidas",0,189927468,225795,0,"Monto total de transferencias emitidas en todas las cuentas durante el mes. Puede ser transferencias propias o de terceros.","T","T","T","T"
"mplazo_fijo_pesos",0,"47924270.47",3187,0,"Monto total de todos los plazos fijos vigentes en pesos.  ","T","T","T","T"
"mplazo_fijo_dolares",0,90907500,28282,0,"Monto total de todos los plazos fijos vigentes el dólares.  El valor está convertido a pesos considerando el valor de cierre del ultimo dia habil del mes.","T","T","T","T"
"Master_mpagospesos","-3717003.76","351481.16",249454,586300,"Monto total de todos los pagos en pesos efectuados por el cliente","T","T","T","T"
"Visa_mpagospesos","-7691583.11","311131.86",673530,133593,"Monto total de todos los pagos en pesos efectuados por el cliente","T","T","T","T"
"Master_mpagosdolares",0,"26434.09",6026,586300,"Monto total de todos los pagos en dólares efectuados por el cliente","T",,"T","T"
"Visa_mpagosdolares",0,"45270.39",13850,133593,"Monto total de todos los pagos en dólares efectuados por el cliente","T",,"T","T"
"Master_mpagado",0,"5315734.29",37329,101319,"Monto total de todos los pagos efectuados por el cliente","T","T","T","T"
"Visa_mpagado",0,2639250,120099,48838,"Monto total de todos los pagos efectuados por el cliente","T","T","T","T"
"mpagodeservicios",0,"2478633.83",6720,0,"Monto total de pagos de servicios efectuados durante el mes.","T","T","T","T"
"Master_mconsumospesos","-108002.98","5171670.94",193859,586300,"Monto total de los consumos en pesos efectuados por el cliente durante ese mes.","T","T","T","T"
"Visa_mconsumospesos","-1849979.55","4323421.99",614223,133593,"Monto total de los consumos en pesos efectuados por el cliente durante ese mes.","T","T","T","T"
"Master_mconsumosdolares",0,"17642.09",7139,586300,"Monto total de los consumos en dolares efectuados por el cliente durante ese mes.","T",,"T","T"
"Visa_mconsumosdolares",0,"45268.61",19896,133593,"Monto total de los consumos en dolares efectuados por el cliente durante ese mes.","T",,"T","T"
"mtarjeta_visa_consumo",0,"4872732.82",733671,0,"Monto total de los consumos efectuados durante el mes con la tarjeta de crédito VISA","T","T","T","T"
"mtarjeta_master_consumo",0,"5252701.87",268792,0,"Monto total de los consumos efectuados durante el mes con la tarjeta de crédito MasterCard","T","T","T","T"
"mcheques_depositados",0,"62221756.37",23026,0,"Monto total de los cheques que se depositaron y se pudo hacer el cobro , en las cuentas del cliente durante el mes.","T","T","T","T"
"mcheques_depositados_rechazados",0,"4089887.93",1187,0,"Monto total de los cheques que se depositaron en cuentas del cliente y fueron rechazados durante el mes.","T","T","T","T"
"mautoservicio",0,"1049277.96",556774,0,"Monto total de las transacciones que hizo el cliente con su tarjeta de débito duirante el mes.","T","T","T","T"
"mcuenta_corriente_adicional","-1990016.09","6581942.16",427,0,"Monto total de las cuentas corrientes adicionales que no forman parte del paquete.","T","T","T","T"
"mcuenta_corriente","-2065768.41","29321773.35",329325,0,"Monto total de las cuenta corriente del paquete premium","T","T","T","T"
"mcomisiones","-134235.24","1167083.11",343248,0,"Monto total de las comisiones que ha ganado el banco por ese cliente.","T","T","T","T"
"mcaja_ahorro_adicional","-37441.05","5058863.11",17772,0,"Monto total de las cajas otras cajas de ahorro que no forman parte del paquete.","T","T","T","T"
"mcaja_ahorro_dolares","-25470.15","93883943.48",223409,0,"Monto total de las cajas de ahorro en dólares.  El valor esta expresado en pesos, y se considera el valor del dolar de cierre del último dia hábil del mes.","T","T","T","T"
"minversion2",0,"379246783.74",25368,0,"Monto total de la inversión de tipo2  expresada en pesos.","T","T","T","T"
"mpasivos_margen","-103791.29","2414341.23",369522,0,"Monto total de la ganancia que el banco ha obtenido por el dinero/inversiones que el cliente tiene en el banco.","T","T","T","T"
"mactivos_margen","-437925.21","381076.48",512494,0,"Monto total de la ganancia que el banco ha obtenido en concepto de intereses que ha cobrado al cliente.","T","T","T","T"
"mprestamos_prendarios",0,23460000,8207,0,"Monto total de la deuda restante de todos los préstamos prendarios del cliente.","T","T","T","T"
"mprestamos_personales",0,"5506583.96",175017,0,"Monto total de la deuda restante de todos los préstamos personales del cliente.","T","T","T","T"
"mprestamos_hipotecarios",0,"23794171.18",9630,0,"Monto total de la deuda restante de todos los préstamos hipotecarios del cliente.","T","T","T","T"
"mcaja_ahorro","-15048.51","40285485.23",846337,0,"Monto total de la caja de ahorro del Paquete Premium","T","T","T","T"
"minversion1_dolares",0,"44677704.32",3574,0,"Monto total de inversiones tipo1 en dolares , expresado en pesos al ultimo dia habil del mes","T","T","T","T"
"minversion1_pesos",0,"69494621.47",32412,0,"Monto total de inversiones tipo1 , convertidos en pesos","T","T","T","T"
"mextraccion_autoservicio",0,3519000,6410,0,"Monto total de extracciones en cajeros automáticos durante el mes","T","T","T","T"
"mcheques_emitidos",0,"46917026.49",16665,0,"Monto total de cheques del cliente que se cobraron ( ya sea por el cliente mismo o por terceros )  durante el mes .","T","T","T","T"
"mcuenta_debitos_automaticos",0,"93231740.76",237478,0,"Monto total de  débitos automáticos debitados durante el mes en las cuentas  ( no tarjetas de crédito ) . Todo está convertido a pesos argentinos, al valor de la fecha de cierre del utlimo dia habil del mes.","T","T","T","T"
"mttarjeta_visa_debitos_automaticos",0,"1916174.65",387938,0,"Monto total de  débitos automáticos debitados durante el mes en la tarjeta de crédito VISA . Todo está convertido a pesos argentinos, al valor de la fecha de cierre del utlimo dia habil del mes.","T","T","T","T"
"mttarjeta_master_debitos_automaticos",0,"857987.8",88061,0,"Monto total de  débitos automáticos debitados durante el mes en la tarjeta de crédito MasterCard . Todo está convertido a pesos argentinos, al valor de la fecha de cierre del utlimo dia habil del mes.","T","T","T","T"
"mcheques_emitidos_rechazados",0,5960435,1042,0,"Monto total  de cheques emitidos por el cliente que fueron rechazados durante el mes.","T","T","T","T"
