varname,varcname,CASO_NULL
clase_ternaria,clase_ternaria,NA
lag1_mcuentas_saldo,mcuentas_saldo,0
lag1_mpayroll,mpayroll,0
lag1_mpayroll2,mpayroll2,0
lag1_mforex_sell,mforex_sell,0
lag1_mforex_buy,mforex_buy,0
lag1_mcomisiones_otras,mcomisiones_otras,0
lag1_mcomisiones_mantenimiento,mcomisiones_mantenimiento,-9999999999
lag1_mpagomiscuentas,mpagomiscuentas,-9999999999
lag1_matm_other,matm_other,-9999999999
lag1_matm,matm,-9999999999
lag1_mcajeros_propios_descuentos,mcajeros_propios_descuentos,-9999999999
lag1_mtransferencias_recibidas,mtransferencias_recibidas,-9999999999
lag1_mtransferencias_emitidas,mtransferencias_emitidas,-9999999999
lag1_mplazo_fijo_pesos,mplazo_fijo_pesos,-9999999999
lag1_mplazo_fijo_dolares,mplazo_fijo_dolares,-9999999999
lag1_mcaja_ahorro_adicional,mcaja_ahorro_adicional,-9999999999
lag1_mcaja_ahorro_dolares,mcaja_ahorro_dolares,-9999999999
lag1_minversion2,minversion2,-9999999999
lag1_mpasivos_margen,mpasivos_margen,-9999999999
lag1_mactivos_margen,mactivos_margen,-9999999999
lag1_mprestamos_prendarios,mprestamos_prendarios,-9999999999
lag1_mprestamos_personales,mprestamos_personales,-9999999999
lag1_mprestamos_hipotecarios,mprestamos_hipotecarios,-9999999999
lag1_mcaja_ahorro,mcaja_ahorro,-9999999999
lag1_minversion1_dolares,minversion1_dolares,-9999999999
lag1_minversion1_pesos,minversion1_pesos,-9999999999
lag1_mextraccion_autoservicio,mextraccion_autoservicio,-9999999999
lag1_mcheques_emitidos,mcheques_emitidos,-9999999999
lag1_mcuenta_debitos_automaticos,mcuenta_debitos_automaticos,-9999999999
lag1_mttarjeta_visa_debitos_automaticos,mttarjeta_visa_debitos_automaticos,-9999999999
lag1_mttarjeta_master_debitos_automaticos,mttarjeta_master_debitos_automaticos,-9999999999
lag1_mcheques_emitidos_rechazados,mcheques_emitidos_rechazados,-9999999999
